word,phonetic,chinese,example
apple,/ˈæpl/,苹果,An apple a day keeps the doctor away.
abandon,/əˈbændən/,放弃,Never abandon your dreams.
ability,/əˈbɪləti/,能力,She has the ability to succeed.
about,/əˈbaʊt/,关于,Tell me about your day.
above,/əˈbʌv/,在...上面,The stars are above us.
accept,/əkˈsept/,接受,I accept your apology.
achieve,/əˈtʃiːv/,实现,Work hard to achieve your goals.
action,/ˈækʃn/,行动,Actions speak louder than words.
active,/ˈæktɪv/,积极的,She leads an active lifestyle.
address,/əˈdres/,地址,What is your home address?
advantage,/ədˈvæntɪdʒ/,优势,Experience gives you an advantage.
adventure,/ədˈventʃər/,冒险,Life is an adventure.
affect,/əˈfekt/,影响,Weather can affect your mood.
afraid,/əˈfreɪd/,害怕的,Don't be afraid to try new things.
agree,/əˈɡriː/,同意,I agree with your opinion.
allow,/əˈlaʊ/,允许,Please allow me to explain.
almost,/ˈɔːlmoʊst/,几乎,We're almost there.
already,/ɔːlˈredi/,已经,I've already finished my homework.
although,/ɔːlˈðoʊ/,虽然,Although it's raining I'll go out.
amazing,/əˈmeɪzɪŋ/,令人惊叹的,The view is absolutely amazing.
